Id,Title,ISBN,Author,Rating,AddDate,ReadDate,ReadYear,ReadWeekday,Format
386142,Legally Blonde,0751534552,Amanda Brown,3,03/11/17,03/11/17,2017,Sat,Paperback
23488171,2014: The Election That Changed India,,Rajdeep Sardesai,3,08/18/16,01/01/17,2017,Sun,Paperback
292163,Trust Me: a romantic comedy set in Bollywood,8129109832,Rajashree,3,03/11/17,03/11/17,2017,Sat,Paperback
11182957,The Guide,8185986074,R.K. Narayan,3,08/18/16,08/18/16,2016,Thu,Paperback
105576,Five Point Someone: What Not to Do at IIT,8129104598,Chetan Bhagat,3,03/11/17,03/11/17,2017,Sat,Paperback
14574740,"The Adventures of Tom Sawyer (Tom Sawyer & Huckleberry Finn, #1)",1908533137,Mark Twain,3,08/18/16,08/18/16,2016,Thu,Paperback
9453895,Battle For Bittora,,Anuja Chauhan,3,04/13/17,04/13/17,2017,Thu,Paperback
16665290,From XL to XS: A Fitness Guru's Guide to Changing your Body,,Payal Gidwani Tiwari,2,08/18/16,07/07/19,2019,Sun,Paperback
13563459,Asura: Tale Of The Vanquished,938157605X,Anand Neelakantan,2,02/25/17,02/25/17,2017,Sat,Paperback
27293160,The Private Life of Mrs. Sharma,,Ratika Kapur,2,09/11/17,09/11/17,2017,Mon,Paperback
19427193,I Too Had a Love Story,8188575704,Ravinder Singh,2,02/25/17,02/25/17,2017,Sat,Paperback
2672748,Almost Single,8172236557,Advaita Kala,2,02/25/17,02/25/17,2017,Sat,Paperback
