,Id,Rating,AddDate,ReadDate,ReadYear,ReadWeekday,Format,Unnamed: 0,Title,ISBN,Author,publication_year,publisher,language_code,description,reviews_count,ratings_count,original_publication_year,num_pages,series_work,similar_books,shelves,SmallImgURL,ImgURL
255,24230761,3,04/19/16,06/04/16,2016,Sat,Paperback,0,Sirens Spell Danger,MissingISBN,Radha Sawana,2013.0,Amazon,eng,"There are sirens, and then, there are sirens. Both of them mean the same thing - Danger. <br /> <br />Lured by a sexy siren, Vicky is mistaken for a secret agent, kidnapped, tortured and slated for death. Will he survive and save Bangalore from going up in flames? <br /> <br />In another city in India, two industrialists are found dead, and the only clue is a strange calling card left behind. A young detective and an old forensic expert must work together to solve this mystery which promises science, poison, and madness. <br /> <br />In a small town called Bellary, Jay is investigating a possible ISI plot. Is it merely a murky political plot or is there something more sinister in the offing? Because for the first time in Jay’s life, two beautiful women are singing siren songs of love… <br /> <br />Three tales of pulse-pounding action and nerve-racking suspense and of secrets that chill to the bone.",37,54,2013.0,240.0,False,None,suspense reviewed wishlist-someday india short-story detective anthology on-kindle i-own-a-copy owned,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
256,956119,3,10/18/14,10/18/14,2014,Sat,Paperback,0,The Adventure of the Dying Detective,1419151320,Arthur Conan Doyle,2004.0,Kessinger Publishing,eng,"This scarce antiquarian book is a facsimile reprint of the original. Due to its age, it may contain imperfections such as marks, notations, marginalia and flawed pages. Because we believe this work is culturally important, we have made it available as part of our commitment for protecting, preserving, and promoting the world's literature in affordable, high quality, modern editions that are true to the original work.",98,1866,1913.0,32.0,True,"The Adventure of the Six Napoleons;The Wedding Ring;Visions: A Phantasy;The Strange Orchid;Lost in a Pyramid or the Mummy's Curse;The Leopard Man's Story and Other Stories;A Scandal in Bohemia (The Adventures of Sherlock Holmes, #1);The Crystal Egg;The Purloined Letter;The Case of the Missing Will:  A Hercule Poirot Mystery;Behind a Mask, Or, a Woman's Power;The Girl at Central;Lamia;The Adventure of the Priory School;The Fat Detective (The Eugene Blake Trilogy Book 1);Junkyard Cats;Sherlock Holmes and the Gloria Scott: Case 14;A Letter to a Hindu",mystery classics short-stories fiction sherlock-holmes crime kindle short-story owned classic,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
257,2310555,3,12/03/13,12/07/13,2013,Sat,Paperback,0,Misteri Karibia - A Caribbean Mystery,9794030686,Agatha Christie,1980.0,Gramedia Pustaka Utama,ind,"Miss Marple berlibur di sebuah hotel di Hindia Barat. Tamu-tamu yang lain, termasuk seorang wanita dari Amerika Latin yang disertai gigolo-gigolonya, seorang raja uang Inggris, sekretarisnya yang aneh dan pendiam, dan tukang pijatnya yang menyeramkan, yang kelihatannya bisa melakukan apa saja. Mencekam dari awal sampai akhir. Kelincahan dan daya cekamnya membuat buku ini asyik dibaca, seperti halnya karya-karya Agatha Christie yang lain.",1299,24074,1964.0,288.0,True,"Black Coffee (Hercule Poirot, #45.5);The Unexpected Guest;Spider's Web;Ask A Policeman;The Rose and the Yew Tree;The Mystery of Three Quarters (New Hercule Poirot Mysteries, #3);The Monogram Murders (New Hercule Poirot Mysteries, #1);Death of a Ghost (Albert Campion Mystery, #6)",mystery agatha-christie fiction crime mysteries classics owned miss-marple books-i-own detective,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360828577l/2310555._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360828577l/2310555._SY160_.jpg
258,28877,3,10/12/12,10/12/12,2012,Fri,Hardcover,0,"Red Dragon (Hannibal Lecter, #1)",0525945563,Thomas  Harris,2000.0,Dutton,eng,"A second family has been massacred by the terrifying serial killer the press has christened ""The Tooth Fairy."" Special Agent Jack Crawford turns to the one man who can help restart a failed investigation: Will Graham. Graham is the greatest profiler the FBI ever had, but the physical and mental scars of capturing Hannibal Lecter have caused Graham to go into early retirement. Now, Graham must turn to Lecter for help.",4483,251880,1981.0,348.0,True,"The Art and Making of Hannibal: The Television Series;Boter 1  (The Godfather, #1);Lips of a Mastodon;Different Seasons;The Shining (The Shining, #1);Misery;The Exorcist;Postmortem (Kay Scarpetta, #1);Angels & Demons (Robert Langdon, #1);Along Came a Spider (Alex Cross, #1);Darkly Dreaming Dexter (Dexter, #1);The Bone Collector (Lincoln Rhyme, #1);The Girl with the Dragon Tattoo (Millennium, #1);Déjà Dead (Temperance Brennan, #1);Shutter Island;A Time to Kill (Jake Brigance, #1);Interview with the Vampire (The Vampire Chronicles, #1);The Omen",horror fiction thriller crime mystery favorites owned books-i-own suspense series,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
259,21476376,3,06/23/14,07/07/14,2014,Mon,ebook,0,A Midsummer Night's Dream,1306282055,William Shakespeare,2014.0,First Avenue Editions,eng,"Hermia's father has given her a seemingly impossible decision: marry Demetrius, a man she doesn't love, or die. Instead, she decides to take fate into her own hands and run off with her true love, Lysander. Demetrius sets off into the forest to find them, followed by Helena, a young woman smitten with Demetrius, whom he constantly ignores. But the forest is filled with fairies including the mischievous Puck whose magic just might spoil everything. This is an unabridged version of William Shakespeare's multilayered comedy, first published in England in 1600.""",7431,421929,1595.0,100.0,False,"The Crucible;The Odyssey;Beowulf;The Canterbury Tales;The Scarlet Letter;A Christmas Carol;The Iliad;Antigone (The Theban Plays, #3);The Strange Case of Dr. Jekyll and Mr. Hyde;Oedipus Rex  (The Theban Plays, #1);Oliver Twist;The Importance of Being Earnest;The Adventures of Tom Sawyer (Adventures of Tom and Huck, #1);Of Mice and Men;Frankenstein;William Shakespeare;Alice's Adventures in Wonderland (Alice's Adventures in Wonderland, #1);Great Expectations",classics plays favorites shakespeare fiction drama classic fantasy play school,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
260,710499,3,08/21/16,09/07/16,2016,Wed,Paperback,0,Welcome to the N.H.K.,1427802564,Tatsuhiko Takimoto,2007.0,TokyoPop,eng,"Twenty-two-year-old Satou, an unemployed, reclusive conspiracy theorist living in Tokyo, meets a mysterious girl who tries to cure him of his antisocial, or ""hikikomori,"" ways.",108,1693,2002.0,248.0,False,"The Melancholy of Haruhi Suzumiya (Haruhi Suzumiya, #1);Bakemonogatari, Part 1 (Bakemonogatari, #1, Part 1);Bakemonogatari, Part 2: Monster Tale (Bakemonogatari, #1, Part 2);Spice & Wolf, Vol. 01;Oyasumi Punpun;No Longer Human;ビブリア古書堂の事件手帖 〜栞子さんと奇妙な客人たち〜 (Biblia Koshodou no Jiken Techou, #1);Boogiepop And Others;Bakemonogatari, Part 3: Monster Tale (Bakemonogatari, #1, Part 3);The Disappearance of Haruhi Suzumiya (Haruhi Suzumiya, #4);やはり俺の青春ラブコメはまちがっている。1;A Girl on the Shore;I Want to Eat Your Pancreas;5 Centimeters Per Second;バッカーノ！The Rolling Bootlegs (Baccano!, #1);花物語 [Hanamonogatari] (Bakemonogatari, #6);Your Name.;Kino no Tabi: The Beautiful World",favorites light-novel manga light-novels fiction japan japanese drama comedy owned,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
261,18164059,3,12/10/16,12/10/16,2016,Sat,Paperback,0,The Skylight Room,MissingISBN,O. Henry,1906.0,MissingPublisher,eng,The Skylight Room,12,133,1906.0,240.0,False,The Monkey's Paw;An Angel in Disguise;An Occurrence at Owl Creek Bridge;A Horseman in the Sky;The Story of an Hour;Desiree's Baby;The Luck of Roaring Camp;Lost Hearts;Vanka;There Will Come Soft Rains;My Kinsman Major Molineux;A Dark Brown Dog;To Build a Fire;Regret;Ancient Lights;The Open Window and Other Short Stories;Signs and Symbols (Stories of Vladimir Nabokov);The Tell-Tale Heart,short-stories classics fiction read-in-2019 audiobook classic short-story tragedy dont-want-to-read z_fiction,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
262,18881991,3,07/27/17,02/23/18,2018,Fri,Paperback,0,"Many Lives, Many Masters: The True Story of a Prominent Psychiatrist, His Yo",MissingISBN,Brian L. Weiss,1988.0,MissingPublisher,eng,"The true story of a prominent psychiatrist, his young patient, and the past-life therapy that changed both their lives. As a traditional psychotherapist, Dr. Brian Weiss was astonished and skeptical when one of his patients began recalling past-life traumas that seemed to hold the key to her recurring nightmares and anxiety attacks. His skepticism was eroded, however, when she began to channel messages from the space between lives, which contained remarkable revelations about Dr. Weiss' family and his dead son. Using past-life therapy, he was able to cure the patient and embark on a new, more meaningful phase of his own career.",2709,34528,1988.0,240.0,False,"Journey of Souls: Case Studies of Life Between Lives;Destiny of Souls: New Case Studies of Life Between Lives;The Laws of The Spirit World;Many Lives, Many Masters by Brian L. Weiss Lesson Plans;Your Soul's Plan: Discovering the Real Meaning of the Life You Planned Before You Were Born;Signs: The Secret Language of the Universe;Children's Past Lives: How Past Life Memories Affect Your Child;The Light Between Us: Stories From Heaven, Lessons for the Living;Old Souls: Compelling Evidence From Children Who Remember Past Lives;Life After Life: The Investigation of a Phenomenon - Survival of Bodily Death;The Celestine Prophecy (Celestine Prophecy, #1);You Can Heal Your Life;Autobiography of a Yogi;Memories of the Afterlife: Life-Between-Lives Stories of Personal Transformation;Muchos cuerpos, una misma alma;Conversations with God: An Uncommon Dialogue, Book 1;The Instruction: Living the Life Your Soul Intended",non-fiction spirituality favorites spiritual psychology nonfiction self-help owned reincarnation books-i-own,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
263,38378,2,05/05/14,05/14/14,2014,Wed,Paperback,0,"Loop (Ring, #3)",193223425X,Kōji Suzuki,2006.0,Vertical,eng,"<b>The Inspiration for the New Major Motion Picture RINGS</b> <br />Learn the final truth about the Ring! <br /> In this much-awaited conclusion of the <i>Ring</i> trilogy, everything you thought you knew about the story will have to be put aside. In <i>Loop</i>, the killer mimics both AIDS and cancer in a deadly new guise. Kaoru Futami, a youth mature beyond his years, must hope to find answers in the deserts of New Mexico and the Loop project, a virtual matrix created by scientists. The fate of more than just his loved ones depends on Kaoru's success. <br /><i>Loop</i> is written as a stand-alone work though it is best enjoyed by fans of <i>Ring </i>and <i>Spiral</i>. The author's own favorite of the trilogy, this astounding finale is an emotionally resonant tale that scales conceptual heights from an angle all its own. Fiction about fiction has rarely been so gripping.",194,2652,1998.0,283.0,True,The Graveyard Apartment;Piercing;Villain;Audition;The Thing on the Doorstep and Other Weird Stories;Frankenstein;Real World;In the Miso Soup;The Killing of Polly Carter;The Last Séance: Tales of the Supernatural;Parasite Eve;Kaleidoskop;I Want To Hold Aono-kun So Badly I Could Die Vol. 1;At Knit's End: Meditations for Women Who Knit Too Much;ZOO;Luella Miller;The World of the Witcher;The Terrible Old Man,horror fiction japan japanese sci-fi science-fiction favorites japanese-literature thriller books-i-own,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
264,6969361,2,10/09/14,10/09/14,2014,Thu,Paperback,0,2 States: The Story of My Marriage,8129115301,Chetan Bhagat,2009.0,Rupa & Co,eng,"Love marriages around the world are simple: Boy loves girl. Girl loves boy. They get married. In India, there are a few more steps: Boy loves Girl. Girl loves Boy. Girl's family has to love boy. Boy's family has to love girl. Girl's Family has to love Boy's Family. Boy's family has to love girl's family. Girl and Boy still love each other. They get married.<br /><br />Welcome to 2 States, a story about Krish and Ananya. They are from two different states of India, deeply in love and want to get married. Of course, their parents don't agrees. To convert their love story into a love marriage, the couple have a tough battle in front of them. For it is easy to fight and rebel, but it is much harder to convince. Will they make it?<br /><br />From the author of blockbusters Five Point Someone, One Night @ the Call Center and The 3 Mistakes of My Life, comes another witty tale about inter-community marriages in modern india.",2754,79697,2009.0,269.0,False,"I Too Had a Love Story;Can Love Happen Twice?;The Immortals of Meluha (Shiva Trilogy, #1);The Secret of the Nagas (Shiva Trilogy #2);The Oath of the Vayuputras (Shiva Trilogy, #3);Life is What You Make It: A Story of Love, Hope and How Determination Can Overcome Even Destiny;Wings of Fire: An Autobiography;Like It Happened Yesterday;Of Course I Love You...! Till I Find Someone Better...;Your Dreams Are Mine Now;If It's Not Forever. It's Not Love.;The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams and Reaching Your Destiny;Scion of Ikshvaku (Ram Chandra #1);Love Stories That Touched My Heart;Anything for You, Ma'am: An IITian's Love Story;Now That You're Rich . . . Let's Fall In Love;The World's Best Boyfriend;It Started With a Friend Request",romance favorites chetan-bhagat indian-authors indian fiction india indian-fiction indian-author contemporary,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1255292027l/6969361._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1255292027l/6969361._SX98_.jpg
