Id,Title,ISBN,Author,Rating,AddDate,ReadDate,ReadYear,ReadWeekday,Format
33636183,Beyond 24,,Prakash Hegade,5,03/20/17,03/20/17,2017,Mon,ebook
34207200,100 Haiku,,Prakash Hegade,5,03/20/17,03/20/17,2017,Mon,ebook
31310647,Poetic Desk,,Prakash Hegade,4,03/20/17,03/20/17,2017,Mon,ebook
34598841,Poem Shop,,Prakash Hegade,4,03/20/17,03/20/17,2017,Mon,ebook
25523025,"Eve: The Awakening (Eve, #1)",1507886578,Jenna Moreci,0,07/28/16,07/28/16,2016,Thu,Paperback
