Unnamed: 0,Id,Title,ISBN,Author,publication_year,publisher,language_code,description,reviews_count,ratings_count,original_publication_year,num_pages,format,series_work,similar_books,shelves,SmallImgURL,ImgURL
0,22439237,The Archers Revenge,MissingISBN,Destination Infinity,2014.0,MissingPublisher,eng,The Archers Revenge,7,10,2014.0,130.0,Paperback,False,None,owned-books parked review-copy ebook ebook-owned,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
0,20320779,"Rise of the Sun Prince (Ramayana: The Game of Life, #1)",8184955308,Shubha Vilas,2013.0,Jaico Publishing House,eng,"Ramayana: The Game of Life (Book 1), one of the world's great literary masterpieces, skillfully retold for modern audiences. Epics like the Ramayana have been recounted infinite times. Is there a need for another chronicle in the presence of so many? How is this one different? And is it relevant to our ever-changing modern lives? <br /><br />Yes, there is a need, yes this is different and yes, it is relevant. This new series of books, each following one khand of the Ramayana, decodes the eternal wisdom of that poetic scripture through gripping narrative and thought-provoking instruction. In the time-honored custom of spreading wisdom through tales, every fascinating story in the epic is retold here and every character unfolded to captivate your heart and open your mind to life's deepest questions.<br /><br />The narrative closely follows Valmiki's Ramayana, gently weaving in folk tales as well as the beautiful analogies of the Kamba Ramayana. The first of this six-volume series, Rise of the Sun Prince, takes you through the divine story of Lord Rama from His birth up to His marriage. Through these pages are revealed the tales of Dasaratha's leadership, Vishwamitra's quest for power and the intriguing story of a little-known stone maiden. Ramayana: The Game of Life has all of this and much more - food for contemporary thought drawn from an enduring masterpiece.",63,205,2013.0,256.0,Paperback,True,"Shopaholic & Baby (Shopaholic, #5);The Nanny Diaries (Nanny, #1);Sins of Sevin;The Girls' Guide to Hunting and Fishing;The Palace of Illusions;Ranga Half-Pants;Remember Me?;I've Got Your Number;The Undomestic Goddess;P.S. I Love You (P.S. I Love You, #1);If God Was a Banker;Something Borrowed (Darcy & Rachel, #1);The Journey Home: Autobiography of an American Swami;The One Minute Manager;Salted Bread: The True Story of Two Good Friends;Srila Prabhupada-lilamrta;Waking Up: A Guide to Spirituality Without Religion;The Devil Wears Prada (The Devil Wears Prada, #1)",mythology hinduism owned indian-authors books-i-own review-copy mythology-retellings indian-mythology purchased-from-kindle-store wishlist-adult,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388128653l/20320779._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388128653l/20320779._SX98_.jpg
0,29212956,The Claim,9352015576,Sanjay Bordia,2016.0,Frog in Well,eng,"The recent foray of '3M Chandani Group' into the life insurance sector is besieged with a large insurance claim. All evidence and documents are in order but there is an eerie feeling that something is not right. The case lands on the table of 'Mohan Mohanty', the ace internal auditor of the group. Will Mohan be able to unearth the truth? Laila and Iceberg, two trusted assistants of Mohan, are confident that with Mohan at the helm, truth need not worry. The investigation takes Mohan and his team to a village hospital where the compounder Tara Nath fixes the posting of doctors. The team of auditors meets Madan Prasad, a sculptor who creates wax statutes which can chase London's Madam Tussaud out of business. The team has to find out whether branch manager, Sunil Shinde, is a victim or a culprit. Time is running out since the Mehra family, the parents and brother of the deceased, are threatening to go to the media and the courts, if the settlement of the insurance claim is delayed further. Mohan has to act fast and come out with clinching evidence or pay the insurance claim of Rs. 10 Crore. An interesting story of an auditor, who investigates frauds in corporate world. CA Kirit Somaiya, Member of Parliament from Mumbai North-East Read it just for the sake of knowing the suspense and adventure in the world of a Chartered Accountant. CA Uttam Prakash Agarwal, Ex-President. The Institute of Chartered Accountants of India A pleasurable read from a debut writer.......Looking forward to more from you Sanjay..... Manish Mundra, Producer of International Award winning films, Aankho Dekhi and Masaan Fascinating debut..... Vish Dhamija, writer of best-selling books, Nothing lasts forever and Bhendi Bazar Riveting story of the mundane world of Chartered Accountants. Sanjay takes us into the murky world of modern finance in a profoundly humorous way. CA M R Venkatesh, Leading commentator on financial matters and author of 'A decade of decay'. The characters are well developed. I was immediately pulled into their world and enjoyed every second of the journey as they race against time. CA Vivek Falod, 39th rank in CA Final-May' 2014 It is an interesting story of three Chartered Accountants........Funny, Adventurous and full of Suspense. CS &amp; CA Aditya Birla, 22nd rank in CS foundation",5,10,2014.0,226.0,Paperback,False,வஜ்ரவியூகம்: vajravyugam,thriller reviewed mystery,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1513823521l/29212956._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1513823521l/29212956._SX98_.jpg
0,20263468,Runaway Daughter,0989315991,Juliet Philip,2013.0,Sparkpress,eng,"Kamada, Tara's daughter, lives in a world of magic. A world of gremlins, fairies, an airavata-a spotless white elephant with four tusks and seven trunks-and talking magical entities shield her from a society where strange men act like they own the women walking down the street and where her mother sells her body in exchange for a life of luxury. Kamada knows she doesn't belong here. She is on a mission to escape the dirty streets of gritty Bombay and her mother's house, which feels like a prison. Only her magical friends, a parrot astrologer who tells of the future, and a neighboring family know that her dream is to leave home to study in America. As she plans her escape, Kamada's world is turned upside down when her mother reveals a secret and she must struggle to get the education she envisions.",10,11,2013.0,154.0,Paperback,False,None,must-acquire will-trade owned for-review finished-copy reviewed-on-blog books-read-2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390338463l/20263468._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390338463l/20263468._SX98_.jpg
0,30033172,Sam's Birthday Gift (All Set to Read Level 2),938411958X,NILL,2014.0,MissingPublisher,eng,Best General Book,0,2,2014.0,130.0,Paperback,False,None,aadi-s-books aadi-books books-i-read-to-my-kid,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
0,19186402,"Private India (Private, #8)",1780891725,James Patterson,2014.0,Century,eng,"In Mumbai, seemingly unconnected people are dying, strangled in a chilling ritual and with strange objects carefully arranged with the corpses.<br /><br />For Santosh Wagh, head of Private India, the Mumbai branch of the world's finest investigation agency, it's a race against time to stop the killer striking again.<br /><br />In a city of over thirteen million, he'd have his work cut out at the best of times, but this case has him battling Mumbai's biggest gang lord and a godman who isn't all he seems.<br /><br />And then he discovers there may be an even greater danger facing Private India. Hidden in the shadows is someone who could destroy the whole organisation - along with thousands of innocent Mumbai citizens...",1008,10506,2014.0,476.0,Hardcover,True,"The Sialkot Saga;The Krishna Key;The Rozabal Line;Keepers of the Kalachakra;Chanakya's Chant;The Shadow Throne;Don't Sit On My Lunch! (Ready, Freddy!, #4);God is a Gamer;Fraudster;ಸಾರ್ಥ [Sartha];The Other Side;Cut Like Wound;Private Down Under: by James Patterson & Michael White | Summary & Analysis;Bankerupt;Private L.A.: by James Patterson and Mark Sullivan -- Review;13 Steps to Bloody Good Luck",james-patterson mystery fiction thriller patterson private default owned patterson-james crime,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1399995690l/19186402._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1399995690l/19186402._SX98_.jpg
0,45995860,Lady in Red: A Collection of Love poems,MissingISBN,Shankar Kashyap,2014.0,MissingPublisher,eng,Lady in Red: A Collection of Love poems,8,7,2014.0,130.0,Paperback,False,Golden Wings;Reasons to Smile;Lady in red;Joy Maa Durga;The Humane Quest (Volume-II);Winter Poems;Pentacles;Abyss;Frosted Glass;Random Subterranean Mosaic 2012 – 2018 - Time frozen in myriad thoughts;NUMI; The Guarded Loop;Pinocchio;Weapons of Kalki: The Book of Love - Book 1;5 Minute Business Plan;101 Dirty Text Messages: Sexting & Dirty Text Messages For You To Get Naughty (Dirty Talk 101 Series Book 14);I Don't Want to Eat Bugs (Lisbon's Misadventures Book 1);The Red Line;Designing Destiny,nogenreset,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
0,30295759,Secretly Yours,0143425919,Vikrant Khanna,2014.0,MissingPublisher,eng,Secretly Yours,36,232,2014.0,130.0,Paperback,False,"This Is Not Your Story;Life is What You Make It: A Story of Love, Hope and How Determination Can Overcome Even Destiny;I Too Had a Love Story;Half Girlfriend;The 3 Mistakes of My Life;The Girl in Room 105;Everyone Has A Story;Like It Happened Yesterday;The Boy with a Broken Heart;One Indian Girl;Revolution 2020: Love, Corruption, Ambition;The Girl of My Dreams;Can Love Happen Twice?;Black Suits You;You are My Reason to Smile;Life is what you make it;13 Reasons Why: Original Screenplay;Forever is True",indian-authors contemporary indian-author thriller romance the-past 2018-read my afia owned-yet-to-read,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
0,30515721,The Soft Target,9386073684,Kalyan Nanda,2016.0,Notion Press,eng,"Is God good? Or is He a manipulative villain who plays with the lives of his creations in the name of karma? As far as Mohan Mishra is concerned, God is a villain. Mohan is God's soft target, for He 'blesses' him with a strange mental problem and kills his support system when he needed it the most. The Soft Target is the story of a boy's journey into manhood, as he takes on God with his mental prowess, defeating Him at every stage, thus making God his soft target. Supported by great friends and a loving wife, Mohan fights an epic battle against the murderous society, the conniving legal system and ultimately God himself, with remarkable courage and spirit.",25,34,2014.0,214.0,Paperback,False,Rewind and Play;Life in the Sunshine: Autobiography of an Unknown Cricketer;Snakes in the Meadows;Narasimha (The Mahaavatar Trilogy #1);They Go to Sleep;Still Loved…Still Missed!;Done With Her...;Kaalkoot: The Lost Himalayan Secret;A Useful Death;The Sun Shines Down;Circus Folk & Village Freaks;A Story Between The Lines;Ashok and the Nine Unknown;Supercop of Aryavrat;Mumtaz and Taj Mahal;Killing Time in Delhi;The Legends of a Startup Guy;That Thing About You,books-i-own publisherauthorreview mental-illness indian_based_author_2019 2019_read ya reviewed indian-books book-reviews,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465689123l/30515721._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465689123l/30515721._SX98_.jpg
0,17120689,How To Become A Million Dollar Speaker: The Steve Siebold Story,0975500376,Elliot Saltzman,2012.0,London House Press,eng,"This book begins with the story of mental toughness guru Steve Siebold's meteoric rise to fame and fortune as a professional speaker, author and television personality. Author Elliott Saltzman devotes the majority of this book to an exhaustive interview with Siebold covering every imaginable detail on what it takes to become a million dollar speaker. Saltzman leaves no stone unturned in his dissection of Siebold's carefully calculated strategies, in an interview that covers the good, bad, and ugly of the professional speaking business. Saltzman tailed Siebold for 8 months during his speaking and TV appearances around the country and the result is an interview that is sometimes shocking, often controversial, and always engaging. If you're looking for a behind the scenes glimpse of what it takes to become a 7-figure professional speaker and the lifestyle that accompanies it, this book is for you.",3,13,2012.0,256.0,Paperback,False,None,nogenreset,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356092213l/17120689._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356092213l/17120689._SX98_.jpg
0,16071764,"Lean In: Women, Work, and the Will to Lead",0385349947,Sheryl Sandberg,2013.0,Knopf,eng,"Sheryl Sandberg’s <i>Lean In</i> is a massive cultural phenomenon and its title has become an instant catchphrase for empowering women. The book soared to the top of bestseller lists internationally, igniting global conversations about women and ambition. Sandberg packed theatres, dominated opinion pages, appeared on every major television show and on the cover of <i>Time</i> magazine, and sparked ferocious debate about women and leadership. Ask most women whether they have the right to equality at work and the answer will be a resounding yes, but ask the same women whether they'd feel confident asking for a raise, a promotion, or equal pay, and some reticence creeps in. The statistics, although an improvement on previous decades, are certainly not in women's favour – of 197 heads of state, only twenty-two are women. Women hold just 20 percent of seats in parliaments globally, and in the world of big business, a meagre eighteen of the Fortune 500 CEOs are women. In <i>Lean In</i>, Sheryl Sandberg – Facebook COO and one of <i>Fortune</i> magazine's Most Powerful Women in Business – draws on her own experience of working in some of the world's most successful businesses and looks at what women can do to help themselves, and make the small changes in their life that can effect change on a more universal scale.",12470,203112,2013.0,217.0,Hardcover,False,"Nice Girls Don't Get the Corner Office: 101 Unconscious Mistakes Women Make That Sabotage Their Careers;Start with Why: How Great Leaders Inspire Everyone to Take Action;The Tipping Point: How Little Things Can Make a Big Difference;The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change;Who Moved My Cheese?;How to Win Friends and Influence People;The Power of Habit: Why We Do What We Do in Life and Business;Made to Stick: Why Some Ideas Survive and Others Die;Outliers: The Story of Success;Blink: The Power of Thinking Without Thinking;Freakonomics: A Rogue Economist Explores the Hidden Side of Everything;The 4-Hour Workweek;Zero to One: Notes on Startups, or How to Build the Future;The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses;The Five Dysfunctions of a Team: A Leadership Fable;Getting Things Done: The Art of Stress-Free Productivity;Built to Last: Successful Habits of Visionary Companies;Rich Dad, Poor Dad",non-fiction business nonfiction feminism favorites self-help leadership book-club women audiobook,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1364250803l/16071764._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1364250803l/16071764._SY160_.jpg
0,13498115,Made in India,8172239238,Biddu,2010.0,HarperCollins,eng,"As a child, Biddu dreamt of going west and making it big as a composer. At the age of sixteen, he formed a band and started playing in a cafe in Bangalore, his home town, At eighteen, he was part of a popular act at Trinca's, a nightclub in Calcutta devoted to food, wine and music, At nineteen, he had college students in Bombay dancing to his music. <br /><br />In his early twenties, he left the country and ended up hitchhiking across the Middle East before arriving in London with only the clothes on his back and his trusty guitar. What followed were years of hardship and struggle but also great music and gathering fame. From the nine million selling ""Kung Fu Fighting"" to the iconic youth anthem of ""Made in India"" and the numerous hits in between. Biddu's music made him a household name in India and elsewhere. <br /><br />In this first public account of all that came his way: the people, the events,the music tours and companies Biddu writes with a gripping sense of humor about his remarkable journey with its fairy tale ending. Charming, witty, and entirely likable, Biddu is a man you are going to enjoy getting to know.",23,33,2010.0,264.0,Hardcover,False,None,non-fiction bwfsdwp music indian-backdrop autobiographical ebooks indian-authors memoirs literary first-reads,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1435179947l/13498115._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1435179947l/13498115._SX98_.jpg
