Id,Title,ISBN,Author,Rating,AddDate,ReadDate,ReadYear,ReadWeekday,Format
49535947,Looking for Miss Sargam: Stories of Music and Misadventure,,Shubha Mudgal,5,09/04/19,12/19/19,2019,Thu,Hardcover
7963,Characters and Viewpoint,,Orson Scott Card,5,06/02/19,06/02/19,2019,Sun,Paperback
45449456,Journeys: A POET'S DIARY,,A K Ramanujan,5,12/16/19,01/06/20,2020,Mon,Hardcover
44767249,She Said: Breaking the Sexual Harassment Story That Helped Ignite a Movement,0525560343,Jodi Kantor,5,01/06/20,01/06/20,2020,Mon,Hardcover
44661920,All the Fires of Wind and Light,1939639190,Maya Khosla,5,03/30/19,03/30/19,2019,Sat,Mass Market Paperback
43811212,Quichotte,178733192X,Salman Rushdie,5,12/16/19,12/16/19,2019,Mon,Paperback
41947189,Bhupen Hazarika: As I Knew Him,9353023351,Kalpana Lajmi,5,09/04/19,09/04/19,2019,Wed,Hardcover
41181600,The Mastermind: Drugs. Empire. Murder. Betrayal.,0399590412,Evan Ratliff,5,05/27/19,12/16/19,2019,Mon,Hardcover
41104077,Invisible Women: Data Bias in a World Designed for Men,1419729071,Caroline Criado-Pérez,5,12/16/19,01/06/20,2020,Mon,Hardcover
28815,Influence: The Psychology of Persuasion,006124189X,Robert B. Cialdini,5,05/09/16,07/12/16,2016,Tue,Paperback
890,Of Mice and Men,0142000671,John Steinbeck,5,07/02/19,12/16/19,2019,Mon,Paperback
6556219,Rebecca,,Daphne du Maurier,5,11/24/17,11/24/17,2017,Fri,Hardcover
768496,The Golden Gate,0679734570,Vikram Seth,5,07/15/10,07/15/10,2010,Thu,Paperback
39863449,Win or Die: Leadership Secrets from Game of Thrones,1250301173,Bruce  Craven,5,12/16/19,12/16/19,2019,Mon,Hardcover
38242135,"AI Superpowers: China, Silicon Valley, and the New World Order",132854639X,Kai-Fu Lee,5,05/22/19,01/06/20,2020,Mon,Hardcover
38042473,Leading Science and Technology: India Next?,,Varun Aggarwal,5,03/04/18,08/22/18,2018,Wed,Paperback
37976541,Bad Blood: Secrets and Lies in a Silicon Valley Startup,152473165X,John Carreyrou,5,02/15/19,01/06/20,2020,Mon,Hardcover
762806,"Gorky Park (Arkady Renko, #1)",0345298349,Martin Cruz Smith,5,06/03/18,06/03/18,2018,Sun,Paperback
37559129,Himalayan Circuit,1176126008,G D Khosla,5,12/30/19,12/30/19,2019,Mon,Paperback
138685,"Dissolution (Matthew Shardlake, #1)",0330411969,C.J. Sansom,5,03/28/19,04/12/19,2019,Fri,Paperback
37506348,Winners Take All: The Elite Charade of Changing the World,0451493249,Anand Giridharadas,5,01/18/19,12/29/19,2019,Sun,Hardcover
35486956,Culture: 50 Insights from Mythology,9352644972,Devdutt Pattanaik,5,12/16/19,12/16/19,2019,Mon,Hardcover
36317479,The Female Persuasion,,Meg Wolitzer,5,08/01/18,08/05/18,2018,Sun,Kindle Edition
253021,Questions of Character: Illuminating the Heart of Leadership Through Literature,1591399688,Joseph L. Badaracco Jr.,5,12/16/19,12/16/19,2019,Mon,Hardcover
35383940,Battles in the Mind,0143439901,Anna Chandy,5,06/25/17,06/25/17,2017,Sun,Hardcover
35152406,Career Rules: How to Choose Right and Get the Life You Want,9351775666,Sonya Dutta Choudhury,5,06/21/17,06/21/17,2017,Wed,Paperback
20655934,One Part Woman,,Perumal Murugan,5,06/01/19,06/01/19,2019,Sat,Hardcover
34964851,"How Hard Can It Be? (Kate Reddy, #2)",1250086086,Allison Pearson,5,03/28/19,12/29/19,2019,Sun,Hardcover
324588,After Kurukshetra : Three Stories,8170462916,Mahasweta Devi,5,12/16/19,12/16/19,2019,Mon,Hardcover
34939678,"The Written World: The Power of Stories to Shape People, History, Civilization",,Martin Puchner,5,05/19/19,05/19/19,2019,Sun,Hardcover
34749290,The Influential Mind: What the Brain Reveals About Our Power to Change Others,,Tali Sharot,5,03/04/18,03/04/18,2018,Sun,Hardcover
36568265,The Vanity Fair Diaries: 1983–1992,,Tina Brown,5,05/01/18,05/05/18,2018,Sat,Hardcover
34017076,WTF?: What's the Future and Why It's Up to Us,0062565710,Tim O'Reilly,5,01/05/18,01/05/18,2018,Fri,Hardcover
33621427,Home Fire,0735217688,Kamila Shamsie,5,08/06/17,01/02/18,2018,Tue,Hardcover
33155370,Popular: The Power of Likability in a Status-Obsessed World,0399563733,Mitch Prinstein,5,04/15/18,04/15/18,2018,Sun,Hardcover
35133922,Educated,0399590501,Tara Westover,5,01/18/19,12/29/19,2019,Sun,Hardcover
31934046,The Dinner Party and Other Stories,031646595X,Joshua Ferris,5,03/04/18,03/04/18,2018,Sun,Hardcover
587301,The Last Mughal,8170130409,G. D. Khosla,5,12/14/16,12/14/16,2016,Wed,Hardcover
